{'mse': 36.111935269862755, 'mae': 3.3361423883417207, 'mape': 0.9052034640123121, 'ccc': 8.803415530988807e-05, 'rsquare': -0.5653134081369564, 'pcc': 8.803446446737434e-05}
{'mse': 36.111935269862755, 'mae': 3.3361423883417207, 'mape': 0.9052034640123121, 'ccc': 8.803415530988807e-05, 'rsquare': -0.5653134081369564, 'pcc': 8.803446446737434e-05}
{'mse': 36.111935269862755, 'mae': 3.3361423883417207, 'mape': 0.9052034640123121, 'ccc': 8.803415530988807e-05, 'rsquare': -0.5653134081369564, 'pcc': 8.803446446737434e-05}
{'mse': 36.111935269862755, 'mae': 3.3361423883417207, 'mape': 0.9052034640123121, 'ccc': 8.803415530988807e-05, 'rsquare': -0.5653134081369564, 'pcc': 8.803446446737434e-05}
{'mse': 36.111935269862755, 'mae': 3.3361423883417207, 'mape': 0.9052034640123121, 'ccc': 8.803415530988807e-05, 'rsquare': -0.5653134081369564, 'pcc': 8.803446446737434e-05}
{'mse': 36.111935269862755, 'mae': 3.3361423883417207, 'mape': 0.9052034640123121, 'ccc': 8.803415530988807e-05, 'rsquare': -0.5653134081369564, 'pcc': 8.803446446737434e-05}
{'mse': 36.111935269862755, 'mae': 3.3361423883417207, 'mape': 0.9052034640123121, 'ccc': 8.803415530988807e-05, 'rsquare': -0.5653134081369564, 'pcc': 8.803446446737434e-05}
{'mse': 36.111935269862755, 'mae': 3.3361423883417207, 'mape': 0.9052034640123121, 'ccc': 8.803415530988807e-05, 'rsquare': -0.5653134081369564, 'pcc': 8.803446446737434e-05}
{'mse': 36.111935269862755, 'mae': 3.3361423883417207, 'mape': 0.9052034640123121, 'ccc': 8.803415530988807e-05, 'rsquare': -0.5653134081369564, 'pcc': 8.803446446737434e-05}
{'mse': 36.111935269862755, 'mae': 3.3361423883417207, 'mape': 0.9052034640123121, 'ccc': 8.803415530988807e-05, 'rsquare': -0.5653134081369564, 'pcc': 8.803446446737434e-05}
{'mse': 40.45105840607361, 'mae': 3.603600917913596, 'mape': 0.9177286750537024, 'ccc': -0.008367433311179, 'rsquare': -0.5317863345970133, 'pcc': -0.008367432861390117}
{'mse': 40.45105840607361, 'mae': 3.603600917913596, 'mape': 0.9177286750537024, 'ccc': -0.008367433311179, 'rsquare': -0.5317863345970133, 'pcc': -0.008367432861390117}
{'mse': 40.45105840607361, 'mae': 3.603600917913596, 'mape': 0.9177286750537024, 'ccc': -0.008367433311179, 'rsquare': -0.5317863345970133, 'pcc': -0.008367432861390117}
{'mse': 40.45105840607361, 'mae': 3.603600917913596, 'mape': 0.9177286750537024, 'ccc': -0.008367433311179, 'rsquare': -0.5317863345970133, 'pcc': -0.008367432861390117}
